Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Packaging,Quantity,Unit Price,Extended Price,Reference Designator,Description
C0805C104M3RACTU,KEMET,399-8000-1-ND,Cut Tape (CT),6,0.1,$0.60,"C5, C8, C9, C12, C17, C18",CAP CER 0.1UF 25V X7R 0805
C0805C103J5RAC7210,KEMET,399-17616-1-ND,Cut Tape (CT),3,0.1,$0.30,"C3, C4, C6",CAP CER SMD 0805 .01UF X7R 5% 50
885012207095,Würth Elektronik,732-8077-1-ND,Cut Tape (CT),1,0.1,$0.10,C7,CAP CER 0.033UF 50V X7R 0805
885012207103,Würth Elektronik,732-7678-1-ND,Cut Tape (CT),1,0.27,$0.27,C11,CAP CER 1UF 50V X7R 0805
C2012X5R1E106M125AB,TDK Corporation,445-5985-1-ND,Cut Tape (CT),4,0.33,$1.32,"C13, C14, C16, C19",CAP CER 10UF 25V X5R 0805
08055C271KAT2A,AVX Corporation,478-1364-1-ND,Cut Tape (CT),1,0.22,$0.22,C1,CAP CER 270PF 50V X7R 0805
885012207084,Würth Elektronik,732-8066-1-ND,Cut Tape (CT),1,0.1,$0.10,C10,CAP CER 470PF 50V X7R 0805
885012207086,Würth Elektronik,732-8068-1-ND,Cut Tape (CT),1,0.1,$0.10,C15,CAP CER 1000PF 50V X7R 0805
885012207088,Würth Elektronik,732-8070-1-ND,Cut Tape (CT),1,0.1,$0.10,C2,CAP CER 2200PF 50V X7R 0805
ERJ-6ENF49R9V,Panasonic Electronic Components,P49.9CCT-ND,Cut Tape (CT),1,0.1,$0.10,R3,RES SMD 49.9 OHM 1% 1/8W 0805
ERJ-6ENF4020V,Panasonic Electronic Components,P402CCT-ND,Cut Tape (CT),1,0.1,$0.10,R2,RES SMD 402 OHM 1% 1/8W 0805
ERJ-6ENF1001V,Panasonic Electronic Components,P1.00KCCT-ND,Cut Tape (CT),3,0.1,$0.30,"R1, R9, R10",RES SMD 1K OHM 1% 1/8W 0805
RC0805JR-0710KL,Yageo,311-10KARCT-ND,Cut Tape (CT),2,0.1,$0.20,"R4, R5",RES SMD 10K OHM 5% 1/8W 0805
CRCW0805121KFKEA,Vishay Dale,541-121KCCT-ND,Cut Tape (CT),1,0.1,$0.10,R6,RES SMD 121K OHM 1% 1/8W 0805
CRCW0805240KFKEA,Vishay Dale,541-240KCCT-ND,Cut Tape (CT),2,0.1,$0.20,"R7, R8",RES SMD 240K OHM 1% 1/8W 0805
1N4001RLG,ON Semiconductor,1N4001RLGOSCT-ND,Cut Tape (CT),1,0.2,$0.20,D2,DIODE GEN PURP 50V 1A DO41
ESD7L5.0DT5G,ON Semiconductor,ESD7L5.0DT5GOSCT-ND,Cut Tape (CT),1,0.72,$0.72,D1,TVS DIODE 5V 10.4V SOT723
LQH31MN1R0K03L,Murata Electronics,490-6604-1-ND,Cut Tape (CT),2,0.71,$1.42,"L1, L4",FIXED IND 1UH 175MA 637 MOHM SMD
LQH31MN3R9K03L,Murata Electronics,490-16851-1-ND,Cut Tape (CT),1,0.68,$0.68,L3,FIXED IND 3.9UH 125MA 1.95 OHM
LQH31MN150J03L,Murata Electronics,490-11672-1-ND,Cut Tape (CT),1,0.71,$0.71,L5,FIXED IND 15UH 90MA 3.9 OHM SMD
LQW31HNR10J03L,Murata Electronics,490-12091-1-ND,Cut Tape (CT),1,0.65,$0.65,L2,FIXED IND 100NH 230MA 300 MOHM
APHCM2012VBC/D,Kingbright,754-2118-1-ND,Cut Tape (CT),1,0.54,$0.54,PWR,LED BLUE CLEAR 2SMD
LT1761IS5-5#TRMPBF,Analog Devices Inc.,LT1761IS5-5#TRMPBFCT-ND,Cut Tape (CT),1,2.95,$2.95,IC3,IC REG LINEAR 5V 100MA TSOT23-5
LT6202CS5#TRMPBF,Analog Devices Inc.,LT6202CS5#TRMPBFCT-ND,Cut Tape (CT),1,4.19,$4.19,U1,IC OPAMP GP 1 CIRCUIT TSOT23-5
"SA612AD/01,118",NXP USA Inc.,568-5045-1-ND,Cut Tape (CT),1,2.49,$2.49,IC1,IC MIXER 500MHZ UP CONVRT 8SO
CON-SMA-EDGE-S,RF Solutions,CON-SMA-EDGE-S-ND,-,2,1.69,$3.38,"ANT, LO",CONN SMA JACK STR EDGE MNT
67997-206HLF,Amphenol ICC (FCI),609-3234-ND,Bag,1,0.35,$0.35,FREQ,CONN HEADER VERT 6POS 2.54MM
QPC02SXGN-RC,Sullins Connector Solutions,S9337-ND,Bulk,1,0.1,$0.10,JMP1,"CONN JUMPER SHORTING .100"" GOLD"
